CountryCode,EN.ATM.CO2E.KT,EN.ATM.METH.EG.ZS,EN.ATM.HFCG.KT.CE,EN.ATM.METH.KT.CE,EN.ATM.NOXE.KT.CE,EN.ATM.GHGO.KT.CE,EN.ATM.PFCG.KT.CE,EN.ATM.PM25.MC.M3,EN.ATM.SF6G.KT.CE,EN.ATM.GHGT.KT.CE
ARB,0.04553496149517621,0.5867293007870138,0.030104983504620035,0.05742602179027439,0.05015161606273023,0.04016945566717833,0.03358187114396422,0.4576370241887267,0.05047445649321009,0.035949495078532026
CSS,0.0017927957171786624,0.6531276895665961,0.030104983504620035,0.0024145200880304253,0.0012014929082422555,8.494264968724851e-05,0.03358187114396422,0.0807536279054263,0.0334466436583965,0.0016144391404677779
CEB,0.019729479424604714,0.503099647814629,0.016346943534186593,0.018148087351227422,0.0209317974243418,0.0018959751985340916,0.008776135072176677,0.15007549805728043,0.0022219656311365217,0.018525122818816388
EAR,0.17066232071662313,0.2696156412990979,0.05821791726426221,0.29175916641108474,0.2648680102275911,0.13006611284923827,0.10390688852551011,0.3607795462321849,0.14276745828009088,0.1576322945175966
EAS,0.34823777040784604,0.3570649537821748,0.35218536587938537,0.32043945891937275,0.28757521056825475,0.11411900903558542,0.29460993735870294,0.30246039124806284,0.44332705057243416,0.31677858765568523
EAP,0.2778123936045429,0.37163091567135,0.27732986983365476,0.29021141390060484,0.25236765053360144,0.07934972532890808,0.12702316404529837,0.32773612044615724,0.3581623266795584,0.2557682686101476
TEA,0.2759738483991729,0.3693222348441928,0.2712046517559901,0.28788765930652194,0.25133255265977883,0.07880811961741134,0.1267826351793748,0.3292097101934665,0.3574841166939992,0.2538220619949272
EMU,0.06907174724218644,0.2533527607633262,0.09929458787544707,0.03956233549592077,0.05759799679483102,0.013354102204339857,0.049614992442526,0.07367944769720464,0.05545676130583865,0.06066386472467451
ECS,0.18550466072649271,0.5201979865899796,0.18519931013854884,0.1792224318346703,0.1481275885485917,0.06175481186775395,0.3719425075353648,0.1130704000167629,0.13725953789147383,0.17320477903635328
ECA,0.08396035098921899,0.6414300995245383,0.05381057311689696,0.11633741282578475,0.06446434448930997,0.044408232106515066,0.3091531382547111,0.15054412208609944,0.08338148849233765,0.08430431699872226
TEC,0.0927033328200218,0.6428162647308232,0.05623202424148977,0.12450743481100744,0.07297349740153197,0.044742072025926116,0.3090815171816843,0.15332033174673768,0.08279551411231183,0.09227209839761125
EUU,0.10265490640841264,0.3127979377910957,0.12979394062230873,0.06548056919179143,0.08681547726830935,0.01697677144976427,0.06837961733979052,0.08631636457146694,0.06177194711028788,0.09055930932383728
FCS,0.010119644975797638,0.2061082063387525,0.030104983504620035,0.06603100727039317,0.11341583678177249,0.26741952938123853,0.03358187114396422,0.30790537809463536,0.0334466436583965,0.06146054124027265
HPC,0.0038569258099366635,0.15523504775903532,0.030104983504620035,0.08308337885330104,0.1545243891225758,0.36484361437443935,0.03358187114396422,0.2758298994136172,0.0334466436583965,0.07670705770517251
HIC,0.36780328836003867,0.38747433911996365,0.6266735798322157,0.19867228746043114,0.23532908379070502,0.11332862762988216,0.40238143778968727,0.10021749438417824,0.44441151467933243,0.3039797735218705
IBD,0.5052343485778132,0.3770763012062359,0.36823957110257993,0.62861112128212,0.5367124452741366,0.38481462202847927,0.6111195244639434,0.3257171994139752,0.5519194555574252,0.4958580875021161
IBT,0.5253192227638388,0.34608344944744274,0.3867262636780415,0.7874713757734939,0.7508536110110389,0.7976292375618641,0.6563249396956763,0.32849411042093113,0.5853443447748924,0.6051482195410373
IDB,0.011376358333471167,0.36280093727168083,0.030104983504620035,0.0454022163653608,0.036558156777517996,0.027542302973067815,0.03358187114396422,0.35165278223739316,0.01135026584390779,0.02106988134771845
IDX,0.00846356594829822,0.13810221550687515,0.030104983504620035,0.11345803812601311,0.17758300895938423,0.385272312560317,0.03358187114396422,0.33045936902824624,0.0334466436583965,0.08822019593813284
IDA,0.019902524378305888,0.20887207697524274,0.030104983504620035,0.15886025449137392,0.21414116573690223,0.4128146155333848,0.03358187114396422,0.33745729233942623,0.0334466436583965,0.10929010466238548
LTE,0.36704031615853494,0.44271880173424344,0.3256739820928356,0.42185402544116285,0.3346599071973957,0.31961634357023505,0.5421301206966985,0.30333188182108445,0.4560772133458883,0.3730949686398558
LCN,0.04795047348790255,0.1640684381184162,0.022818920577886582,0.11838536929877795,0.13372993072688877,0.2585591256700488,0.10026072138303302,0.10514622470598825,0.019246368678574707,0.09439707316694983
LAC,0.043539730445431815,0.15766687564082987,0.021320839695398466,0.11157654882417847,0.12818788266658893,0.25827433026574226,0.09334408395843617,0.10458285519394754,0.01869827537313799,0.09040896329151009
TLA,0.04600091790978366,0.16513110907222756,0.022123340617174407,0.11698751108238133,0.13175178404175397,0.2584002129808657,0.09706329351850766,0.10543218653141291,0.01863258020134342,0.09332073601344461
LDC,0.006326545845820566,0.1405973061523117,0.030104983504620035,0.10682091952703554,0.16454882610251934,0.37718770299805915,0.03358187114396422,0.33967938410621373,0.0334466436583965,0.08372459016095488
LMY,0.5159938435699737,0.3429966244521575,0.3883577736808109,0.7755825278787775,0.7388752707418553,0.7976995939200298,0.6506218611587726,0.32913757659511594,0.5851746857299532,0.5956165359526333
LIC,0.00410448446080243,0.16780175367404376,0.030104983504620035,0.0637101422941868,0.1089595418848515,0.267850778654851,0.03358187114396422,0.27265473254666367,0.0334466436583965,0.057446737949657774
LMC,0.1027250836822379,0.22849702169016495,0.030104983504620035,0.24948867140176975,0.24862620288527373,0.17605578380366643,0.03358187114396422,0.3709237377956052,0.08250070524415978,0.14723618246786668
