CountryCode,EN.BIR.THRD.NO,EN.MAM.THRD.NO,ER.MRN.PTMR.ZS,EN.HPT.THRD.NO,ER.LND.PTLD.ZS
ARB,0.0676075574778056,0.06958308866705813,0.026433918486717948,0.022582359192348564,0.05038558488072037
CSS,0.015023901661734578,0.01790957134468585,0.08635662244742363,0.023047290116896917,0.06878255901428111
CEB,0.029592533576143866,0.014679976512037582,0.007974251532278036,0.004250797024442083,0.1277465203129812
EAR,0.373321192806738,0.405460951262478,0.018315555487761617,0.38781880977683314,0.13043686262261567
EAS,0.2497154564079217,0.26952436876101,0.08727831446983471,0.23346174282678003,0.18453384434076867
EAP,0.16753926701570682,0.21403405754550792,0.004637838459465544,0.18105738575982996,0.19823041071313366
TEA,0.16071022080582745,0.21197886083382267,0.0046647880914964905,0.18012752391073325,0.1993893257142986
EMU,0.042112451627589344,0.029359953024075163,0.06774654797298714,0.035334750265674814,0.17263259186416496
ECS,0.1452310493967676,0.10275983558426306,0.03464945644882572,0.06854410201912858,0.10524547396063853
ECA,0.08376963350785341,0.056664709336465065,0.018514850680502893,0.029556323060573857,0.07956178727842562
TEC,0.08627361711814249,0.05813270698766882,0.018455093578762412,0.030220510095642934,0.08120407026013253
EUU,0.06669701798315501,0.042278332354668234,0.053407616876404586,0.03998405951115834,0.17151761508497143
FCS,0.12997951286137036,0.14533176746917206,0.006875368995218714,0.07418969181721573,0.10424086754431834
HPC,0.16731163214204417,0.22431004110393424,0.02414265273158495,0.2015807651434644,0.1828130650409036
HIC,0.20737536990666972,0.1529653552554316,0.1345582811332124,0.14426142401700318,0.17855568106569492
IBD,0.47416344183928977,0.4682912507339988,0.019222226775470988,0.5771785334750266,0.13510348656325494
IBT,0.761438652401548,0.8335290663534939,0.019341372552628616,0.8450451647183846,0.14266096737172645
IDB,0.05827452765763715,0.07017028772753964,0.006918905993446131,0.07857332624867162,0.13363654399038066
IDX,0.229000682904621,0.2950675278919554,0.023304817404569692,0.1892933049946865,0.1708551117064706
IDA,0.28727521056225813,0.36523781561949503,0.01965517132989681,0.26786663124335813,0.16256539280333032
LTE,0.2729342135215115,0.23135642982971227,0.016128587438133498,0.28752656748140276,0.13966949125449898
LCN,0.2301388572729342,0.18261890780974752,0.036459233521239386,0.33926673751328373,0.16258462149670233
LAC,0.21056225813794674,0.1650029359953024,0.03694698418203031,0.3238575982996812,0.1583633775545145
TLA,0.22080582745276575,0.1717557251908397,0.03662166455967547,0.3187433581296493,0.16304398803811096
LDC,0.20122922831777829,0.26746917204932474,0.023516129398457625,0.1600690754516472,0.1666939252734035
LMY,0.7521056225813795,0.8235466823253083,0.019257314376628313,0.8459750265674814,0.1412257256819248
LIC,0.13635328932392443,0.18173810921902525,0.0112219062997332,0.1303134962805526,0.20249201663345254
LMC,0.28272251308900526,0.34321785085143863,0.020496288362937588,0.2699920297555792,0.11615951220821641
MEA,0.06351012975187799,0.06576629477392835,0.005223408916472681,0.01926142401700319,0.07036124799218875
MNA,0.04302299112223993,0.04932472108044627,0.0052717153205031515,0.017800212539851222,0.05405414724741954
TMN,0.04006373776462554,0.04844392248972402,0.0052717153205031515,0.0176009564293305,0.05405414724741954
MIC,0.61962212610972,0.6447445684086905,0.020581904407384447,0.716192879914984,0.13109993636044168
NAC,0.021170043250625995,0.015560775102759836,0.11417217643448056,0.031880977683315624,0.17812179007879853
INX,0.03980419951851773,0.0420492357515259,0.02567111434553914,0.041331302531156536,0.14904349978940365
OED,0.14796266788071932,0.12742219612448621,0.1333762324538395,0.12048352816153028,0.16667303631255687
OSS,0.05850216253129979,0.06694069289489137,0.0030682818446015952,0.04350425079702444,0.2065996273640645
PSS,0.01912132938766219,0.014973576042278332,0.0008312314271728016,0.0070403825717322,0.023652620791708018
PST,0.1393125426815388,0.09864944216089254,0.14474666700479463,0.09969447396386823,0.1713685982032848
PRE,0.15524698383792396,0.22313564298297123,0.024988250420865204,0.20231137088204038,0.1703063561890446
SST,0.09264739358069657,0.09982384028185555,0.017054614075422733,0.07359192348565356,0.17884043999446766
SAS,0.054177099931709535,0.07369348209042866,0.01237407787832343,0.04994686503719448,0.09688420997605825
TSA,0.054177099931709535,0.07369348209042866,0.01237407787832343,0.04994686503719448,0.09688420997605825
SSF,0.1994081493284771,0.26952436876101,0.022073602718476668,0.24840595111583422,0.1899526074054949
SSA,0.19690416571818803,0.26776277157956546,0.02207388878187218,0.24428799149840594,0.18994152121997787
TSS,0.1994081493284771,0.26952436876101,0.022073602718476668,0.24840595111583422,0.1899526074054949
UMC,0.33689961302071475,0.3015267175572519,0.020616291046109972,0.4462008501594049,0.13710057527161254
WLD,1.0,1.0,0.05067237393255065,1.0,0.15139801099105124
AFG,0.003869792852264967,0.0032295948326482677,0.0,0.00033209351753453773,0.0066359447004608295
ALB,0.0022763487366264513,0.0008807985907222549,0.0,0.0,0.003870967741935484
DZA,0.0031868882312770315,0.004110393423370522,0.0009970089730807579,0.001195536663124336,0.11612903225806451
ASM,0.001821078989301161,0.0002935995302407516,0.022931206380857428,6.641870350690754e-05,0.21013824884792628
AND,0.00045526974732529026,0.0005871990604815032,0.0,0.0,0.10193548387096775
AGO,0.005918506715228773,0.0049911920140927775,0.0009970089730807579,0.0022582359192348566,0.12847926267281107
ATG,0.00022763487366264513,0.0005871990604815032,0.0019940179461615157,0.00026567481402763017,0.0
ARG,0.011381743683132255,0.01086318261890781,0.02691924227318046,0.004649309245483528,0.08055299539170507
ARM,0.0034145231049396768,0.0026423957721667646,0.0,0.004715727948990436,0.14580645161290323
ABW,0.00022763487366264513,0.0005871990604815032,0.0,0.00013283740701381508,0.008847926267281106
AUS,0.011381743683132255,0.01849677040516735,0.26520438683948155,0.006110520722635494,0.1400921658986175
AUT,0.0027316184839517414,0.0008807985907222549,0.0,0.0008634431455897981,0.35354838709677416
AZE,0.004097427725927612,0.002348796241926013,0.0,0.002789585547290117,0.09566820276497696
BHS,0.0015934441156385158,0.0017615971814445098,0.0019940179461615157,0.0005313496280552603,0.11188940092165899
BHR,0.0013658092419758707,0.0008807985907222549,0.0,0.0,0.024884792626728113
BGD,0.007511950830867289,0.010569583088667059,0.0009970089730807579,0.0013947927736450586,0.015299539170506912
BRB,0.00045526974732529026,0.0008807985907222549,0.0009970089730807579,0.00019925611052072262,0.0022119815668202765
BLR,0.002048713862963806,0.0011743981209630064,0.0,6.641870350690754e-05,0.12
BEL,0.001821078989301161,0.0005871990604815032,0.036889332003988036,0.0,0.13161290322580643
BLZ,0.0011381743683132257,0.0026423957721667646,0.004985044865403789,0.002391073326248672,0.48
BEN,0.0022763487366264513,0.003816793893129771,0.0,0.0011291179596174283,0.43889400921658983
BMU,0.00022763487366264513,0.0011743981209630064,0.04785643070787637,0.0005313496280552603,0.09880184331797236
BTN,0.004552697473252903,0.007633587786259542,0.0,0.001195536663124336,0.2615668202764977
BOL,0.012519918051445481,0.006165590135055784,0.0,0.006907545164718385,0.16147465437788017
BIH,0.001821078989301161,0.0011743981209630064,0.0707876370887338,6.641870350690754e-05,0.0005529953917050691
BWA,0.0029592533576143867,0.0026423957721667646,0.0,0.00013283740701381508,0.3299539170506912
BRA,0.03755975415433645,0.02378156194950088,0.024925224327018942,0.03460414452709883,0.12331797235023043
VGB,0.00022763487366264513,0.0002935995302407516,0.01794616151545364,0.0006641870350690755,0.0919815668202765
BRN,0.005463236967903483,0.009688784497944804,0.014955134596211367,0.006907545164718385,0.6809216589861751
BGR,0.004097427725927612,0.002348796241926013,0.0009970089730807579,0.00039851222104144525,0.036682027649769584
BFA,0.002503983610289096,0.002935995302407516,0.0,0.00019925611052072262,0.25732718894009216
BDI,0.0029592533576143867,0.004110393423370522,0.0,0.0005313496280552603,0.07078341013824885
CPV,0.0011381743683132257,0.0011743981209630064,0.0,0.00019925611052072262,0.0455299539170507
KHM,0.006146141588891418,0.011156782149148562,0.0,0.002391073326248672,0.0005529953917050691
