CountryCode,AG.LND.TOTL.RU.K2,AG.LND.EL5M.RU.ZS,SP.RUR.TOTL,AG.LND.TOTL.UR.K2,AG.LND.EL5M.UR.ZS,SP.URB.TOTL
ARB,0.11850189509066372,0.009107598408234654,0.022101663603614922,0.05324828703445749,0.003629240148546173,0.011790265865465803
CSS,0.003517339743000787,0.06754951868799978,0.0009502961274541774,0.0025739920270716064,0.012208720740989002,0.0004166589762968931
CEB,0.007419198775810835,0.022207559823131193,0.014394873123048298,0.019588030585955683,0.008360142446689952,0.012499929202742873
EAR,0.24435815601011365,0.01823679829524385,0.27084387470176396,0.2468605840649938,0.0036478435991075648,0.08161068882793264
EAS,0.1976697805795439,0.022843237262917596,0.28250603853441264,0.19331157498332074,0.009800892235592738,0.07858734170261283
EAP,0.12356175844687464,0.029482848546719984,0.2673055089442406,0.14045178218188603,0.011597689276286285,0.05198802883334566
TEA,0.12249834947510103,0.029468050086362926,0.2653573728678198,0.13978249872119378,0.011662325439352176,0.05004552492391982
EMU,0.019455655492251835,0.03418235710010138,0.0278568804438734,0.10764776856892572,0.03978131360693897,0.0479223233459906
ECS,0.19736948724344194,0.01999372213297502,0.0852733128660213,0.2373339129914057,0.006487633543896738,0.11116617830690352
ECA,0.16413545090087642,0.01409466252275707,0.044824740634668875,0.08581190782079369,0.0009049062441971649,0.04110611999142785
TEC,0.16662073925425186,0.014141628790227739,0.04943826114164476,0.0942160737421568,0.0010577385529763614,0.04533397016253997
EUU,0.03071695349015172,0.03292870841498016,0.044763118791259784,0.15096840460184416,0.033059008822495003,0.07209327756974644
FCS,0.10977956009884927,0.01032675245410733,0.03523854411404466,0.023278842517374485,0.001357711187901218,0.008760974862049293
HPC,0.12413925735861352,0.007751036518151698,0.05149159251439841,0.018300096611890557,0.0006434927215939386,0.008412284977295273
HIC,0.29392162419321827,0.022790616262676755,0.07593544729410485,0.48719339335623285,0.008558015732233233,0.14277398730764726
IBD,0.5495563813483777,0.01684500846944737,0.4935358587727443,0.4764769429188608,0.004363019648416878,0.17251799881067262
