CountryCode,IndicatorCode,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016
ARB,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
ARB,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
CSS,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
CSS,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
CEB,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
CEB,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
EAR,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
EAR,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
EAS,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
EAS,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
EAP,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
EAP,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
TEA,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
TEA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
EMU,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
EMU,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
ECS,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
ECS,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
ECA,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
ECA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
TEC,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
TEC,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
EUU,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
EUU,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
FCS,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
FCS,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
HPC,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
HPC,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
HIC,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
HIC,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
IBD,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
IBD,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
IBT,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
IBT,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
IDB,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
IDB,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
IDX,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
IDX,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
IDA,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
IDA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LTE,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
LTE,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LCN,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
LCN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LAC,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
LAC,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
TLA,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
TLA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LDC,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
LDC,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LMY,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
LMY,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LIC,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
LIC,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
LMC,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
LMC,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MEA,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
MEA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MNA,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
MNA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
TMN,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
TMN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MIC,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
